Iso3,Human Hazard,Infrastructure,Institutional,Natural Hazard,Socio-Economic Vulnerability,Vulnerable Groups,Cluster,0ClusterProb,1ClusterProb,2ClusterProb,3ClusterProb,4ClusterProb,5ClusterProb,6ClusterProb,7ClusterProb,8ClusterProb,9ClusterProb,10ClusterProb,11ClusterProb,12ClusterProb,13ClusterProb,14ClusterProb,15ClusterProb,16ClusterProb,17ClusterProb,18ClusterProb,19ClusterProb
AFG,10.0,7.1,7.2,6.5,7.7,8.7,0,0.9999445693997467,2.7488889068122193e-11,1.8129713815777235e-09,5.555603373502398e-37,1.1644470495176067e-12,2.37425997204437e-15,1.124703547177163e-12,6.969091992028915e-09,1.063758881493871e-12,3.327768134479968e-07,9.826234535150786e-13,1.0187592373397701e-10,8.713352128646629e-13,6.049976660762246e-20,6.321786330006384e-13,3.611879909854118e-12,5.508890255836299e-05,7.337141491882742e-22,1.5122975764357162e-30,3.117077627878319e-39
AGO,4.7,7.7,6.5,3.2,5.1,4.9,5,0.029751625538885745,1.2357844751958484e-13,1.6745652389966556e-11,1.662299459435332e-26,1.2962032454624556e-13,0.9702483736293445,1.2088880274496705e-13,1.6949433473427898e-13,1.142808275567326e-13,2.0007610153593726e-17,1.0549392286553796e-13,7.295895589304869e-10,9.346057846183114e-14,6.3597440126258914e-12,6.76754797483342e-14,2.673299655774859e-12,7.54767319563349e-11,7.814050969828527e-23,1.6105959462304692e-31,3.31968566886076e-40
ALB,0.1,2.5,5.6,6.4,2.2,0.9,3,6.829736643139112e-08,0.025437056418894436,4.080302501910678e-13,0.9642808770488769,1.6100818257960528e-11,0.01028062003123646,1.5510917939666134e-11,1.3779039869976469e-06,1.466689266910915e-11,4.0718707930879066e-13,1.3543874710329621e-11,1.9824688445825157e-10,1.200467532137894e-11,1.697628609416876e-11,8.701534781019997e-12,2.651339824622404e-12,4.2046295782206867e-13,1.007405594693873e-20,2.0764176907647229e-29,4.279815845019106e-38
ARE,0.1,1.4,2.4,4.1,1.1,1.9,3,1.1970411113803056e-06,0.00010686802300952792,3.6731769289799625e-07,0.9914208311668701,3.0946549404899084e-07,5.24167950904461e-06,2.9711678327944525e-07,5.160148543900587e-07,2.809645618756162e-07,3.5465258503201714e-05,2.5947049463218757e-07,4.008782804885159e-08,2.3000582226858329e-07,0.00842755775059921,1.6675444146183426e-07,3.0433724446218246e-07,6.75451801700573e-08,1.9316662326280166e-16,3.981460852719574e-25,8.206402459187606e-34
ARG,1.5,2.2,4.6,3.9,1.9,1.8,3,1.9676278181820514e-05,0.00018509362935761902,4.134104226774585e-06,0.9970971384220428,8.054789308864299e-06,0.0010252382790236125,7.726225137300625e-06,0.0014018608385315053,7.306116429330031e-06,0.0001318668520151211,6.747085188413658e-06,2.21535417342442e-06,5.980778041612022e-06,7.558825645242295e-05,4.3358693472621035e-06,9.306289185584349e-06,7.730833351023886e-06,5.0220143709830356e-15,1.0351143112678633e-23,2.1335296123096593e-32
ARM,3.1,2.0,6.7,4.4,2.1,3.0,3,7.407778365334871e-07,1.0430706460164732e-10,5.633677213708792e-06,0.9620434932799647,6.880862988742687e-09,0.015332136303449097,6.638474751714496e-09,0.022608269954607383,6.278057672560337e-09,2.294408428891279e-10,5.798359715910991e-09,5.673826315780523e-07,5.140619811282651e-09,2.2355807302894485e-06,3.728049016895358e-09,6.094149518273241e-07,6.278830442895281e-06,4.321872727362092e-18,8.908043627720025e-27,1.836084639213228e-35
ATG,0.0,2.0,5.2,3.7,2.2,1.1,3,3.131138349737631e-07,9.100376274879596e-05,5.037840395717584e-07,0.9908261552990026,4.2094782315367127e-07,0.009072855856962039,4.0349631468104493e-07,3.1799201507082045e-06,3.8155890265548843e-07,9.376230650510461e-07,3.523667381228606e-07,2.5559639669225895e-07,3.1234997788712787e-07,5.0917148893104205e-09,2.2644924355881204e-07,2.663309624785108e-06,2.94734594834438e-08,2.6230180480075184e-16,5.406443151366726e-25,1.1143509885957635e-33
AUS,0.1,1.8,2.3,4.9,0.5,3.6,13,1.6698449981237592e-09,6.1214778049564934e-06,2.7002098631140517e-14,0.0899692044213096,3.5014986817434156e-11,2.622306348137677e-08,3.3490138952552676e-11,2.1127350505460588e-07,3.166384850023715e-11,0.00011348941716339707,2.923457888058779e-11,2.2066461622450706e-08,2.5906345341043947e-11,0.9099109219766747,1.876899660948891e-11,1.2725766096230116e-09,2.7489871112917925e-11,2.170178548065462e-20,4.4730713756696554e-29,9.219687269396119e-38
AUT,0.0,0.5,2.2,2.3,0.3,4.4,3,1.225411674572924e-16,1.4719821091846814e-10,2.03212699677034e-11,0.9999940155551855,1.2436671819762145e-11,3.630331636633055e-11,1.1895268465107481e-11,1.0200870984525956e-12,1.1248413974402706e-11,4.14724634398204e-09,1.0387666307403442e-11,5.948673431359434e-13,9.207792133515454e-12,5.980028347964375e-06,6.675218843464749e-12,1.9290867033806802e-12,2.0564767278971197e-15,7.731167041689075e-21,1.593512295363589e-29,3.28447363999203e-38
AZE,5.0,2.3,6.4,4.9,2.2,5.6,7,1.666480876392841e-07,1.0036433025685305e-14,2.1057098047541595e-07,0.0001806505471625785,1.7376802276081772e-10,4.0605569001632974e-06,1.6795994005961514e-10,0.9995803852284001,1.5884528118619237e-10,8.265413364781376e-08,1.467133479106264e-10,1.2499036772604736e-06,1.3007718780179898e-10,0.0001971327608786645,9.434365782820695e-11,5.594025082416874e-10,3.605969865990019e-05,1.0940138763453187e-19,2.2549306642277467e-28,4.6477585069249316e-37
